Posted_date,Job Title,Country,Company,Skill
12-09-2024,Backend developer,Germany,U.S. Bank,R
10-20-2024,Backend developer,Germany,Fidelity TalentSource,R
11-15-2024,Backend developer,Germany,Inabia Software &amp; Consulting Inc.,R
03-30-2022,Backend developer,Germany,American-IS,"LAN,R"
12-02-2024,Backend developer,Germany,Cognizant,R
09-19-2024,Backend developer,Germany,TEK NINJAS,R
10-30-2024,Backend developer,Germany,CEDENT,"Software Development,R"
04-11-2022,Backend developer,Germany,"Bayone Solutions, Inc.",R
12-14-2020,Backend developer,Germany,I-Team,"Software Development,R"
11-07-2024,Backend developer,Germany,RisamSoft,"Software Development,R"
03-20-2020,Backend developer,Germany,Axionent,"LAN,R"
11-22-2024,Backend developer,Germany,Inclusion Cloud,"LAN,R"
02-23-2024,Backend developer,Germany,Photon,"LAN,R"
12-05-2024,Backend developer,Germany,Tyler Technologies,"Software Development,R"
07-02-2024,Backend developer,Germany,Fidelity TalentSource,"LAN,R"
12-06-2024,Backend developer,Germany,Indeed,R
12-06-2024,Backend developer,Germany,American Airlines,"Software Development,R"
10-08-2024,Backend developer,Germany,TEK NINJAS,"LAN,R"
12-03-2024,Backend developer,Germany,Indeed,"Software Development,R"
09-12-2024,Backend developer,Germany,Michaels,R
01-09-2023,Backend developer,Germany,CEDENT,"Software Development,R"
05-21-2024,Backend developer,Germany,Photon,"LAN,R"
11-22-2024,Backend developer,Germany,Vofox Solutions,R
10-21-2024,Backend developer,Germany,CVS Health,"Software Development,R"
12-03-2024,Backend developer,Germany,Indeed,"LAN,R"
12-06-2024,Backend developer,Germany,Infosys,"Software Development,R"
12-06-2024,Backend developer,Germany,Indeed,"Authorization,R"
11-18-2024,Backend developer,Germany,Nisum,R
11-04-2024,Backend developer,Germany,GoodLeap,R
12-01-2024,Backend developer,Germany,Everlight Solar,R
12-06-2024,Backend developer,Germany,Indeed,R
09-12-2024,Backend developer,Germany,Michaels,R
12-06-2024,Backend developer,Germany,American Airlines,"Software Development,R"
11-22-2024,Backend developer,Germany,Vofox Solutions,R
12-03-2024,Backend developer,Germany,Indeed,"Software Development,R"
10-08-2024,Backend developer,Germany,TEK NINJAS,"LAN,R"
01-09-2023,Backend developer,Germany,CEDENT,"Software Development,R"
10-21-2024,Backend developer,Germany,CVS Health,"Software Development,R"
11-04-2024,Backend developer,Germany,GoodLeap,R
05-21-2024,Backend developer,Germany,Photon,"LAN,R"
12-03-2024,Backend developer,Germany,Indeed,"LAN,R"
10-10-2024,Backend developer,Germany,NTT Data Services,"Software Development,R"
12-06-2024,Backend developer,Germany,Infosys,"Software Development,R"
12-06-2024,Backend developer,Germany,Indeed,"Authorization,R"
11-18-2024,Backend developer,Germany,Nisum,R
12-01-2024,Backend developer,Germany,Everlight Solar,R
12-03-2024,Backend developer,Germany,Indeed,"Authorization,R"
11-07-2024,Backend developer,Germany,Adswizz,"LAN,R"
10-25-2024,Backend developer,Germany,Indeed,"Software Development,R"
09-13-2024,Backend developer,Germany,Toyota,"Software Development,R"
12-10-2024,Backend developer,Germany,Select Medical,"Software Development,R"
11-08-2024,Backend developer,Germany,Indeed,"Authorization,R"
10-17-2024,Backend developer,Germany,Intone networks,"Software Development,R"
09-30-2024,Backend developer,Germany,Capgemini,"LAN,R"
10-28-2024,Backend developer,Germany,Capgemini,"LAN,R"
12-06-2024,Backend developer,Germany,Indeed,R
11-01-2022,Backend developer,Germany,SDH Systems,"Software Development,R"
10-09-2024,Backend developer,Germany,Zimperium,"Software Development,R"
10-31-2024,Backend developer,Germany,Select Medical,"LAN,R"
11-14-2024,Backend developer,Germany,Indeed,"Software Development,R"
05-04-2017,Backend developer,Germany,Sonsoft Inc,"LAN,R"
12-21-2022,Backend developer,Germany,Nuanza,R
08-01-2024,Backend developer,Germany,TEK NINJAS,"Software Development,R"
12-29-2023,Backend developer,Germany,Adidev Technologies Inc,R
05-03-2017,Backend developer,Germany,Sonsoft Inc,"LAN,R"
11-07-2024,Backend developer,Germany,Sirius XM,"LAN,R"
10-08-2024,Backend developer,Germany,Capital One,"Software Development,R"
10-16-2024,Backend developer,Germany,Photon,"LAN,R"
08-23-2022,Backend developer,Germany,CEO Foundry,"LAN,R"
07-26-2023,Backend developer,Germany,Five Pack Creative,"MAN,Project Management,R"
12-05-2024,Backend developer,Germany,Indeed,"Software Development,R"
11-20-2024,Backend developer,Germany,Apollo Technology Solutions LLC,"Software Development,R"
12-04-2024,Backend developer,Germany,Infosys,"Software Development,R"
11-25-2024,Backend developer,Germany,PepsiCo,"Software Development,R"
11-21-2024,Backend developer,Germany,Infosys,"LAN,R"
10-11-2024,Backend developer,Germany,Adidev Technologies Inc,R
10-17-2024,Backend developer,Germany,Toyota Tsusho Systems,"Software Development,R"
09-05-2024,Backend developer,Germany,"Contact Government Services, LLC","LAN,R"
07-26-2024,Backend developer,Germany,Care.com,"LAN,R"
10-18-2024,Backend developer,Germany,Adidev Technologies Inc,R
10-21-2024,Backend developer,Germany,"Contact Government Services, LLC",R
10-12-2018,Backend developer,Germany,Crossroads Technologies,R
08-30-2024,Backend developer,Germany,"Contact Government Services, LLC",R
04-17-2019,Backend developer,Germany,Crossroads Technologies,R
11-22-2024,Backend developer,Germany,Adidev Technologies Inc,"LAN,R"
10-09-2024,Backend developer,Germany,"Contact Government Services, LLC","LAN,R"
04-17-2019,Backend developer,Germany,Crossroads Technologies,"MAN,Project Management,R"
11-22-2024,Backend developer,Germany,Adidev Technologies Inc,R
10-01-2024,Backend developer,Germany,Indeed,"Software Development,R"
10-11-2024,Backend developer,Germany,Adidev Technologies Inc,"LAN,R"
10-11-2024,Backend developer,Germany,Adidev Technologies Inc,"LAN,R"
04-20-2023,Backend developer,Germany,Rightnow Ministries International,"LAN,R"
12-03-2021,Backend developer,Germany,VYNYL,"Software Development,R"
11-04-2024,Backend developer,Germany,"Standard Motor Products, Inc.",R
11-04-2024,Backend developer,Germany,Indeed,"Software Development,R"
12-06-2024,Backend developer,Germany,Indeed,R
12-05-2024,Backend developer,Germany,Tyler Technologies,"Software Development,R"
10-21-2024,Backend developer,Germany,CVS Health,"Software Development,R"
12-03-2024,Backend developer,Germany,Indeed,"Authorization,R"
12-06-2024,Backend developer,Germany,Infosys,"Software Development,R"
11-18-2024,Backend developer,Germany,Nisum,R
12-01-2024,Backend developer,Germany,Everlight Solar,R
11-21-2024,Backend developer,Germany,Infosys,"LAN,R"
07-08-2020,Backend developer,Germany,Infosys,"LAN,R"
11-19-2024,Backend developer,Germany,Geoforce,R
07-07-2019,Backend developer,Germany,Synthesis Systems,"LAN,R"
10-12-2018,Backend developer,Germany,Crossroads Technologies,R
10-21-2024,Backend developer,Germany,"Contact Government Services, LLC",R
10-09-2024,Backend developer,Germany,"Contact Government Services, LLC","LAN,R"
08-30-2024,Backend developer,Germany,"Contact Government Services, LLC",R
