id,Posted_date,Job Title from List,Job Title,Company,Company Logo URL,Country,Location,Skills,Salary Info,Source
1,12-09-2024,Network engineer,"Senior Software Engineer (iOS Developer) in Irving, TX. Multiple openings",U.S. Bank,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/14355bd958f2cbe0d5c107975854afd6,Germany,"Irving, TX",R,"$119,765 - $154,990 ",indeed.com
2,10-20-2024,Network engineer,Mobile Developer in Test (iOS with Cypress and Swift),Fidelity TalentSource,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/4630577b0160aeea641e462095dbed8d,Germany,"Westlake, TX",R,NA,indeed.com
3,11-15-2024,Network engineer,Senior iOS Developer,Inabia Software &amp; Consulting Inc.,NA,Germany,"Dallas, TX",R,NA,indeed.com
4,03-30-2022,Network engineer,Objective C developers,American-IS,NA,Germany,"Arlington, TX","LAN,R",NA,indeed.com
5,12-02-2024,Network engineer,Sr. iOS Developer. (Onsite),Cognizant,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/ad8bfb9614127a4e501b8734b35b7855,Germany,"Dallas, TX",R,"$81,500 - $141,500 ",indeed.com
6,09-19-2024,Network engineer,Sr iOS Developer,TEK NINJAS,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/f05f90301da28a2995493120b6dd0ff2,Germany,"Fort Worth, TX",R,NA,indeed.com
7,10-30-2024,Network engineer,iOS Developer,CEDENT,NA,Germany,"Dallas, TX","Software Development,R",NA,indeed.com
8,04-11-2022,Network engineer,Senior IOS Developer,"Bayone Solutions, Inc.",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/46fab688f1c649df8151425905d08862,Germany,"Plano, TX",R,NA,indeed.com
9,12-14-2020,Network engineer,Senior Mobile Developer – iOS,I-Team,NA,Germany,"Branch, TX","Software Development,R",NA,indeed.com
10,11-07-2024,Network engineer,Mobile Application Developer,RisamSoft,NA,Germany,"Irving, TX","Software Development,R",NA,indeed.com
11,03-20-2020,Network engineer,Senior Software Engineer (iOS),Axionent,NA,Germany,"Richardson, TX","LAN,R",NA,indeed.com
12,11-22-2024,Network engineer,React Native Developer,Inclusion Cloud,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/481170ffa79cf51d852401e24e205b8e,Germany,"Dallas, TX","LAN,R",NA,indeed.com
13,02-23-2024,Network engineer,"Mobile Lead- Dallas, TX",Photon,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/4aa6cf8582dae94e91d8bf97770bbf32,Germany,"Dallas, TX","LAN,R",NA,indeed.com
14,12-05-2024,Network engineer,Development Manager,Tyler Technologies,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/0ab4aded708ddde71411f9fabe0add22,Germany,"Plano, TX","Software Development,R",NA,indeed.com
15,07-02-2024,Network engineer,Mobile Developer (Front End),Fidelity TalentSource,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/4630577b0160aeea641e462095dbed8d,Germany,"Westlake, TX","LAN,R",NA,indeed.com
